+------------------------------------------------+-----------+
|                      Word                      | Frequency |
|                      उनल                       |     4     |
|                       TV                       |     3     |
|                     TOPICS                     |     2     |
|                      सबस                       |     2     |
|                      ऐपड                       |     2     |
|                   Complaint                    |     2     |
|                   Redressal                    |     2     |
|                   Investors                    |     2     |
|                      Rate                      |     2     |
|                   Correction                   |     2     |
|                     Press                      |     4     |
|                    Releases                    |     4     |
|                       Cs                       |     2     |
|                       HD                       |     2     |
|                    Contest                     |     2     |
|                     Vasant                     |     2     |
|                     Valley                     |     2     |
|                    Courses                     |     2     |
|                      ITMI                      |     2     |
|                     Aajtak                     |     4     |
|                    National                    |     2     |
|                    Aptitude                    |     2     |
|                      test                      |     2     |
|                    Esports                     |     4     |
|                      Cup                       |     2     |
|                    Premier                     |     2     |
|                     League                     |     2     |
|                    Diaries                     |     2     |
|                    Printing                    |     2     |
|                    Thomson                     |     2     |
|                  Subscription                  |     2     |
|                    OddNaari                    |     2     |
|                     Music                      |     2     |
|                    Gadgets                     |     2     |
|                     Gizmos                     |     2     |
|                     Events                     |     2     |
|                    Sahitya                     |     2     |
|                     Agenda                     |     2     |
|                    Conclave                    |     4     |
|                    Ideaplex                    |     2     |
|                     Woman                      |     2     |
|                     Summit                     |     6     |
|                     Youth                      |     2     |
|                     State                      |     3     |
|                    Welfare                     |     2     |
|                      Care                      |     2     |
|                  Syndication                   |     2     |
|                    Content                     |     2     |
|                    Headline                    |     2     |
|                     Dailyo                     |     2     |
|                     Ichowk                     |     2     |
|                    Archive                     |     2     |
|                    Download                    |     6     |
|                      App                       |     2     |
|                     Living                     |     2     |
|                     Media                      |     2     |
|                    Limited                     |     2     |
|                    reprint                     |     2     |
|                     rights                     |     2     |
|                  Syndications                  |     2     |
|                      Add                       |     2     |
|                     Screen                     |     2     |
|                       ऐप                       |     2     |
|                       अध                       |     14    |
|                      कतम                       |     6     |
|                      गणन                       |     8     |
|                     School                     |     2     |
|                 BoardsCollege                  |     1     |
|                 AdmissionGovt                  |     1     |
|                      Jobs                      |     4     |
|                     Alert                      |     1     |
|                PrepExamsCurrent                |     1     |
|                 AffairsGeneral                 |     1     |
|        KnowledgeCareersVideosEducation         |     1     |
|                    NewsQuiz                    |     1     |
|                      Mock                      |     3     |
|              TestsEbooksResultsह               |     1     |
|                     Jagran                     |     3     |
|                    PlayView                    |     1     |
|                   Categories                   |     2     |
|                    Colleges                    |     1     |
|                      New                       |     1     |
|                    Distance                    |     1     |
|                      MBA                       |     2     |
|                      SRM                       |     1     |
|                   University                   |     1     |
|                    Current                     |     1     |
|                    Affairs                     |     1     |
|                       GK                       |     1     |
|                      JEE                       |     1     |
|                      Web                       |     1     |
|                      CBSE                      |     4     |
|                     Boards                     |     1     |
|                      ICSE                      |     3     |
|                    BoardUP                     |     1     |
|                   BoardBihar                   |     1     |
|                 BoardRajasthan                 |     1     |
|                BoardMaharashtra                |     1     |
|                    BoardMP                     |     1     |
|                    ARTICLE                     |     1     |
|                       चन                       |     4     |
|                       दक                       |     5     |
|                  SSC_CGL_1JAN                  |     13    |
|                       ढ                        |     3     |
|                       उन                       |     2     |
|                       अब                       |     1     |
|                       इक                       |     1     |
|                     Vijay                      |     1     |
|                     Pratap                     |     1     |
|                     Singh                      |     1     |
|                       14                       |     1     |
|                       43                       |     1     |
|                       गज                       |     1     |
|                       एक                       |     1     |
|                       बड                       |     1     |
|                       शल                       |     3     |
|                       आ                        |     2     |
|                       गय                       |     1     |
|                       बज                       |     1     |
|                       अ                        |     2     |
|                      उपस                       |     2     |
|                      उनक                       |     1     |
|                       कट                       |     2     |
|                       ऑफ                       |     2     |
|                      उसस                       |     2     |
|                      पहल                       |     2     |
|                      आवश                       |     2     |
|                       यत                       |     3     |
|                       धन                       |     1     |
|                       लह                       |     1     |
|                       रक                       |     5     |
|                       चल                       |     1     |
|                       नद                       |     1     |
|                      बदलन                      |     1     |
|                       आग                       |     1     |
|                       जव                       |     1     |
|                       गई                       |     1     |
|                       कह                       |     1     |
|                       रश                       |     1     |
|                       षण                       |     1     |
|                       अक                       |     1     |
|                       उ                        |     1     |
|                       एम                       |     1     |
|                      करत                       |     2     |
|                       शट                       |     1     |
|                      उपय                       |     1     |
|                       जग                       |     1     |
|                       सह                       |     1     |
|                     20223                      |     1     |
|                   U5iQRkz8g7                   |     1     |
|                   ajaypratap                   |     1     |
|                AjaypratapSaroj                 |     1     |
|                       13                       |     7     |
|                    increase                    |     1     |
|                     caused                     |     1     |
|                     great                      |     1     |
|                      deal                      |     1     |
|                    hardship                    |     1     |
|                     grief                      |     1     |
|                  indiatvnews                   |     1     |
|                   zuiKzgUyI0                   |     1     |
|                    Moumita                     |     1     |
|                     Manna                      |     1     |
|                Moumita79196352                 |     1     |
|                     Kindly                     |     1     |
|                   reconsider                   |     1     |
|                   NBGq9dVYR6                   |     1     |
|                    Abhishek                    |     2     |
|                     Sharma                     |     1     |
|                Abhishe03919083                 |     1     |
|                     SHAME                      |     1     |
|                    hanging                     |     1     |
|                     thread                     |     1     |
|                    current                     |     1     |
|                      turn                      |     1     |
|                    reality                     |     1     |
|                 DoptSecretary                  |     4     |
|                   GZa5hwuJNO                   |     1     |
|                   Tajesvini                    |     1     |
|                     Redhu                      |     1     |
|                   tajesvini                    |     1     |
|                   travelled                    |     1     |
|                       36                       |     1     |
|                      Cgl                       |     1     |
|                    complex                     |     1     |
|                     heard                      |     1     |
|                      get                       |     1     |
|                     depend                     |     1     |
|                    decision                    |     1     |
|                   kfVHPRSoOY                   |     1     |
|                 abhisharma7737                 |     1     |
|                  acknowledge                   |     1     |
|                   widespread                   |     1     |
|                     demand                     |     2     |
|                     update                     |     1     |
|                      take                      |     2     |
|                  appropriate                   |     1     |
|                     action                     |     2     |
|                   rHWlFby41k                   |     1     |
|                     Deepak                     |     1     |
|                Deepakk42488385                 |     1     |
|                 DrKirodilalBJP                 |     1     |
|                  RahulGandhi                   |     1     |
|                   RwYQg7lSWR                   |     1     |
|                    abhishek                    |     1     |
|                iamabhishek1606                 |     1     |
|                     Final                      |     1     |
|                    fairness                    |     1     |
|                    Changing                    |     1     |
|                    without                     |     1     |
|                     notice                     |     1     |
|                     unjust                     |     1     |
|                  narendramod                   |     1     |
|                   kt3nOXppUo                   |     1     |
|                      Puja                      |     1     |
|                     Pandey                     |     1     |
|                   iampuja29                    |     1     |
|                       हर                       |     3     |
|                      भरप                       |     1     |
|                       फ़                        |     1     |
|                      गरण                       |     1     |
|                       अभ                       |     1     |
|                      GPAT                      |     2     |
|                   Announced                    |     2     |
|                    Schedule                    |     2     |
|                    Herejust                    |     4     |
|                       UN                       |     2     |
|                   Estimates                    |     2     |
|                    Outdoing                    |     2     |
|                     China                      |     2     |
|                   Population                   |     2     |
|                     Index                      |     2     |
|                      Rise                      |     2     |
|                    Billion                     |     2     |
|                      Mark                      |     2     |
|                    Soonjust                    |     2     |
|                     WBJEE                      |     2     |
|                      Get                       |     2     |
|                       10                       |     2     |
|                   Commercial                   |     2     |
|                       24                       |     4     |
|                    PDFjust                     |     2     |
|                      NMDC                      |     2     |
|                       गम                       |     2     |
|                      193                       |     2     |
|                      अपर                       |     2     |
|                       कल                       |     6     |
|                       9                        |     2     |
|                       16                       |     2     |
|                      mins                      |     28    |
|                      ago                       |     28    |
|                      HSSC                      |     2     |
|                       ण                        |     2     |
|                       31                       |     2     |
|                       हज                       |     2     |
|                       21                       |     4     |
|                      NTA                       |     2     |
|                 Clarification                  |     2     |
|                     Notice                     |     2     |
|                   Regarding                    |     2     |
|                     Medium                     |     2     |
|                    Question                    |     3     |
|                     Paper                      |     3     |
|                     Here23                     |     2     |
|                      ECGC                      |     4     |
|                       PO                       |     4     |
|                      Form                      |     2     |
|                   Details31                    |     2     |
|                  Observation                   |     2     |
|                     Skills                     |     2     |
|                      spot                      |     6     |
|                     Rhinos                     |     2     |
|                    picture                     |     6     |
|                     within                     |     6     |
|                      secs                      |     6     |
|                     Puzzle                     |     2     |
|                       IQ                       |     6     |
|                   Detective                    |     2     |
|                      Mind                      |     2     |
|                     solve                      |     2     |
|                    Mystery                     |     2     |
|                    Poisoned                    |     2     |
|                     Drinks                     |     2     |
|                       39                       |     2     |
|                    Upcoming                    |     2     |
|                      LIVE                      |     2     |
|                   Employment                   |     2     |
|                 Notifications                  |     2     |
|                      much                      |     2     |
|                     more40                     |     2     |
|                    Optical                     |     2     |
|                    Illusion                    |     2     |
|                      Dog                       |     2     |
|                    Sausage                     |     2     |
|                     Mouth                      |     2     |
|                     inside                     |     2     |
|                      Secs                      |     2     |
|                       41                       |     2     |
|                  Probationary                  |     2     |
|                    Officer                     |     2     |
|                     Posts                      |     2     |
|                     Salary                     |     2     |
|                     Here43                     |     2     |
|                     EAMCET                     |     2     |
|                      Late                      |     2     |
|                      Fees                      |     2     |
|                      Ends                      |     2     |
|                     eamcet                     |     2     |
|                     tsche                      |     2     |
|                      in44                      |     2     |
|                     Brain                      |     2     |
|                     Teaser                     |     2     |
|                     hidden                     |     2     |
|                       F                        |     2     |
|                     among                      |     2     |
|                       Es                       |     2     |
|                       44                       |     2     |
|                     Indian                     |     2     |
|                      Army                      |     2     |
|                       यन                       |     2     |
|                       आर                       |     2     |
|                      दन54                      |     2     |
|                       TN                       |     3     |
|                      10th                      |     5     |
|                      dge                       |     3     |
|                       tn                       |     3     |
|                      gov                       |     3     |
|                      in54                      |     2     |
|                     QUICK                      |     1     |
|                     LINKS                      |     1     |
|                    Register                    |     1     |
|                    follows                     |     1     |
|                      DNPA                      |     1     |
|                      code                      |     1     |
|                    conduct                     |     1     |
|                    feedback                    |     1     |
|                   complaint                    |     1     |
|                     email                      |     1     |
|                 compliant_gro                  |     1     |
|                 jagrannewmedia                 |     1     |
|                   Prakashan                    |     1     |
|                      Ltd                       |     1     |
|                      uses                      |     1     |
|                     cookie                     |     1     |
|                  technologies                  |     1     |
|                    enhance                     |     1     |
|                    browsing                    |     1     |
|                    provide                     |     1     |
|                  personalised                  |     1     |
|                recommendations                 |     1     |
|                   continuing                   |     1     |
|                     agree                      |     1     |
|                     Accept                     |     1     |
|                       12                       |     1     |
|                    Subjects                    |     1     |
|                  Solutions54                   |     1     |
|                      in57                      |     1     |
|                    Updates                     |     1     |
|                      BSEB                      |     2     |
|                  DeclaredApr                   |     2     |
|                    HereMar                     |     1     |
|                      Arts                      |     1     |
|                  DeclaredMar                   |     1     |
|                    results                     |     1     |
|                      Free                      |     1     |
|                    Webinar                     |     1     |
|                     Tests                      |     1     |
+------------------------------------------------+-----------+
